Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangkok,Bangkok,60  -  64,"268,880","283,150","293,910","301,550","310,847","319,638","327,997","336,564","348,117","353,047","364,549"
Bangkok,Bangkok,65  -  69,"172,289","186,477","202,049","218,060","233,715","247,374","258,734","268,155","275,078","281,688","293,720"
Bangkok,Bangkok,70  -  74,"133,784","135,984","138,518","144,506","148,590","156,836","167,331","180,847","195,005","207,661","223,316"
Bangkok,Bangkok,75  -  79,"95,826","103,759","108,212","109,384","112,379","114,273","116,743","118,988","124,471","126,620","136,954"
Bangkok,Bangkok,80  -  84,"55,249","61,583","65,659","69,845","74,443","77,780","82,445","86,302","87,264","88,743","93,622"
Bangkok,Bangkok,85  -  89,"24,755","29,326","31,941","34,563","37,163","40,511","43,139","46,072","49,341","51,767","56,955"
Bangkok,Bangkok,90  -  94,"9,012","10,709","11,703","12,752","13,951","15,443","17,012","18,631","20,352","21,402","25,656"
Bangkok,Bangkok,95  -  99,"3,599","3,929","4,122","4,386","4,608","4,965","5,518","5,914","6,388","6,875","9,485"
Bangkok,Bangkok,100 and over,"2,580","2,936","3,335","3,713","1,169","1,635","1,998","2,398","2,896","3,304","6,570"
Bangkok,Bangkok,Unknown/lunar Calendar,88,62,62,60,2,2,1,1,1,1,1
Bangkok,Bangkok,Population Registered in House Registration and Non  -  Thai nationalities,"44,983","44,334","81,062","50,484","44,513","45,530","46,542","47,522","48,981","49,543",
Bangkok,Bangkok,Population Registered in Central House Registration,"86,027","91,068","66,003","98,922","105,729","112,294","117,070","120,394","98,625","97,799",
Bangkok,Bangkok, Transferring population,"32,332","33,133","28,149","34,114","33,475","33,287","32,566","31,377","3,922","3,735",
Central Region,Central Region,Total,"16,222,892","16,366,870","16,532,023","16,753,526","16,879,244","17,018,869","17,151,984","17,265,094","17,255,105","17,314,234","17,339,238"
Central Region,Central Region,0 - 4,"963,612","953,371","945,899","935,156","909,369","877,548","852,569","823,462","796,117","760,872","758,879"
Central Region,Central Region,5-Sep,"993,042","998,264","993,391","984,988","987,391","990,518","982,626","974,438","960,416","930,587","989,687"
Central Region,Central Region,Oct-14,"1,000,305","982,645","988,154","988,467","997,221","1,008,328","1,014,428","1,010,852","1,000,984","1,000,697","1,024,068"
Central Region,Central Region,15  -  19,"1,171,425","1,162,833","1,139,831","1,108,359","1,062,611","1,021,207","1,003,961","1,009,639","1,010,030","1,016,888","1,037,817"
Central Region,Central Region,20  -  24,"1,156,548","1,170,523","1,181,087","1,196,829","1,211,441","1,217,729","1,214,709","1,194,304","1,159,404","1,115,375","1,090,115"
Central Region,Central Region,25  -  29,"1,152,648","1,127,637","1,123,859","1,126,390","1,143,171","1,170,886","1,189,762","1,203,666","1,221,367","1,237,990","1,266,026"
Central Region,Central Region,30  -  34,"1,320,326","1,310,517","1,286,324","1,265,677","1,241,801","1,206,482","1,183,238","1,178,827","1,181,498","1,199,691","1,246,414"
Central Region,Central Region,35  -  39,"1,352,837","1,358,691","1,366,160","1,372,995","1,366,012","1,358,038","1,353,328","1,331,137","1,309,735","1,283,944","1,262,938"
Central Region,Central Region,40  -  44,"1,380,865","1,358,905","1,357,574","1,351,636","1,348,471","1,355,903","1,364,718","1,374,455","1,382,984","1,377,446","1,387,212"
Central Region,Central Region,45  -  49,"1,326,771","1,349,642","1,349,851","1,348,161","1,361,837","1,364,929","1,346,392","1,344,660","1,338,733","1,335,046","1,357,488"
Central Region,Central Region,50  -  54,"1,140,719","1,176,170","1,219,372","1,256,494","1,283,676","1,298,985","1,324,891","1,324,310","1,321,193","1,332,519","1,348,684"
Central Region,Central Region,55  -  59,"909,116","889,380","931,586","1,001,108","1,055,364","1,103,539","1,145,037","1,186,295","1,221,390","1,244,070","1,269,655"
Central Region,Central Region,60  -  64,"676,823","727,045","757,984","771,015","789,741","821,740","858,605","899,578","965,600","1,014,752","1,069,101"
Central Region,Central Region,65  -  69,"449,639","492,382","534,144","574,223","611,773","651,860","683,265","712,674","725,020","740,100","777,991"
Central Region,Central Region,70  -  74,"381,234","379,004","381,521","392,139","401,134","420,487","445,532","484,012","521,257","553,188","594,862"
Central Region,Central Region,75  -  79,"278,253","302,272","312,466","313,982","320,883","321,899","323,334","325,984","335,244","341,615","362,345"
Central Region,Central Region,80  -  84,"168,734","187,579","194,722","204,520","215,135","224,158","234,469","242,877","243,294","247,405","250,625"
Central Region,Central Region,85  -  89,"77,514","94,074","100,367","105,758","111,737","117,304","124,984","129,685","135,952","142,168","150,128"
