Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Region,Chanthaburi Province,30  -  34,"40,680","40,686","39,925","39,382","38,325","37,075","36,341","36,358","35,985","36,568","37,506"
Central Region,Chanthaburi Province,35  -  39,"41,247","40,563","40,394","40,443","40,305","40,199","40,160","39,379","38,765","37,772","36,620"
Central Region,Chanthaburi Province,40  -  44,"44,258","43,291","42,795","42,083","41,200","40,699","40,141","39,979","39,985","39,833","39,847"
Central Region,Chanthaburi Province,45  -  49,"43,223","43,809","43,813","43,692","43,723","43,475","42,726","42,185","41,436","40,542","40,272"
Central Region,Chanthaburi Province,50  -  54,"37,512","38,559","39,719","40,564","41,498","42,166","42,879","42,949","42,745","42,689","42,622"
Central Region,Chanthaburi Province,55  -  59,"29,821","29,013","30,449","32,756","34,541","36,138","37,414","38,534","39,319","40,180","40,949"
Central Region,Chanthaburi Province,60  -  64,"22,068","23,811","24,739","25,300","25,830","26,564","28,025","29,347","31,494","33,203","34,819"
Central Region,Chanthaburi Province,65  -  69,"14,877","15,940","17,335","18,604","19,935","21,372","22,339","23,122","23,658","24,140","24,929"
Central Region,Chanthaburi Province,70  -  74,"13,002","13,112","12,950","13,076","13,285","13,761","14,371","15,656","16,827","18,014","19,338"
Central Region,Chanthaburi Province,75  -  79,"9,848","10,538","10,905","10,985","11,042","11,136","11,213","11,120","11,207","11,382","11,858"
Central Region,Chanthaburi Province,80  -  84,"6,366","7,023","7,154","7,361","7,787","7,925","8,229","8,459","8,523","8,593","8,638"
Central Region,Chanthaburi Province,85  -  89,"2,906","3,552","3,860","4,059","4,260","4,531","4,747","4,857","5,044","5,265","5,292"
Central Region,Chanthaburi Province,90  -  94,977,"1,283","1,364","1,476","1,584","1,710","1,943","2,141","2,274","2,362","2,484"
Central Region,Chanthaburi Province,95  -  99,309,370,392,389,430,481,525,570,612,646,711
Central Region,Chanthaburi Province,100 and over,119,142,164,193,103,114,140,148,170,194,242
Central Region,Chanthaburi Province,Unknown/lunar Calendar,17,2,2,2,-,-,-,-,-,-,-
Central Region,Chanthaburi Province,Population Registered in House Registration and Non  -  Thai nationalities,403,430,915,"1,788","1,834","2,048","2,332","2,520","2,753","3,016",
Central Region,Chanthaburi Province,Population Registered in Central House Registration,"3,820","3,878","3,572","4,058","3,793","3,862","3,930","4,090","2,137","2,512",
Central Region,Chanthaburi Province, Transferring population,769,879,859,859,968,985,904,944,238,196,
Central Region,Trat Province,Total,"222,855","224,010","224,730","229,435","229,437","229,649","229,914","229,958","228,536","228,376","227,808"
Central Region,Trat Province,0 - 4,"13,112","12,874","12,795","12,547","11,959","11,355","11,025","10,547","10,068","9,796","10,292"
Central Region,Trat Province,5-Sep,"13,526","13,516","13,219","12,966","12,902","12,907","12,729","12,761","12,623","12,046","13,240"
Central Region,Trat Province,Oct-14,"13,892","13,685","13,627","13,322","13,381","13,403","13,439","13,218","13,111","13,114","13,842"
Central Region,Trat Province,15  -  19,"15,905","15,630","15,224","14,746","14,197","13,794","13,660","13,623","13,425","13,477","14,176"
Central Region,Trat Province,20  -  24,"15,565","15,476","15,442","15,498","15,518","15,354","15,080","14,898","14,518","14,089","14,784"
Central Region,Trat Province,25  -  29,"16,377","15,969","15,876","15,811","15,817","15,766","15,620","15,584","15,833","15,865","16,408"
Central Region,Trat Province,30  -  34,"17,320","17,467","16,991","16,602","16,244","15,904","15,461","15,290","15,165","15,268","15,790"
Central Region,Trat Province,35  -  39,"17,449","17,308","17,221","17,077","16,820","16,795","16,870","16,488","16,137","15,800","15,856"
Central Region,Trat Province,40  -  44,"17,542","17,331","17,314","17,268","17,180","17,018","16,857","16,768","16,686","16,421","16,947"
Central Region,Trat Province,45  -  49,"16,749","16,997","17,102","17,164","17,188","17,175","16,968","17,032","16,937","16,838","17,197"
Central Region,Trat Province,50  -  54,"14,941","15,342","15,738","16,048","16,254","16,517","16,736","16,814","16,848","16,843","17,538"
Central Region,Trat Province,55  -  59,"11,874","11,863","12,556","13,381","13,911","14,698","15,104","15,463","15,649","15,800","16,403"
Central Region,Trat Province,60  -  64,"9,266","9,869","10,157","10,418","10,678","10,874","11,410","12,126","12,905","13,382","14,481"
Central Region,Trat Province,65  -  69,"6,478","6,922","7,274","7,873","8,274","8,852","9,257","9,477","9,717","10,009","10,395"
Central Region,Trat Province,70  -  74,"5,550","5,699","5,810","5,816","5,901","5,990","6,274","6,599","7,116","7,490","8,098"
Central Region,Trat Province,75  -  79,"3,949","4,254","4,384","4,550","4,704","4,787","4,827","4,916","4,978","5,044","5,161"
Central Region,Trat Province,80  -  84,"2,347","2,563","2,725","2,803","2,938","3,158","3,310","3,432","3,547","3,644","3,748"
Central Region,Trat Province,85  -  89,"1,045","1,219","1,316","1,400","1,496","1,618","1,703","1,806","1,909","1,976","2,111"
Central Region,Trat Province,90  -  94,389,475,497,538,556,620,666,742,797,871,902
Central Region,Trat Province,95  -  99,127,158,168,179,199,198,227,226,230,235,297
Central Region,Trat Province,100 and over,38,48,64,76,43,58,75,89,101,120,142
Central Region,Trat Province,Unknown/lunar Calendar,4,-,-,-,-,-,-,-,-,-,-
Central Region,Trat Province,Population Registered in House Registration and Non  -  Thai nationalities,"6,302","5,912","6,347","9,529","9,227","8,729","8,540","8,023","8,321","8,373",
Central Region,Trat Province,Population Registered in Central House Registration,"2,635","2,873","2,367","3,297","3,503","3,549","3,491","3,427","1,767","1,788",
Central Region,Trat Province, Transferring population,473,560,516,526,547,530,585,609,148,87,
Central Region,Chachoengsao Province,Total,"685,721","690,226","695,478","700,902","704,399","709,889","715,009","720,113","720,718","724,178","726,687"
Central Region,Chachoengsao Province,0 - 4,"42,586","42,157","41,794","41,528","40,417","38,969","38,076","36,826","35,800","34,479","33,831"
Central Region,Chachoengsao Province,5-Sep,"43,305","43,404","43,018","42,290","42,630","43,067","42,798","42,596","42,219","41,009","41,440"
Central Region,Chachoengsao Province,Oct-14,"43,653","42,759","43,288","43,235","43,251","43,666","43,827","43,580","42,971","43,451","44,291"
Central Region,Chachoengsao Province,15  -  19,"50,370","49,965","48,783","47,368","45,695","44,129","43,131","43,740","43,775","43,975","44,571"
Central Region,Chachoengsao Province,20  -  24,"48,611","49,083","49,578","49,819","49,682","49,847","50,042","49,469","48,104","46,333","45,062"
Central Region,Chachoengsao Province,25  -  29,"50,941","49,689","49,403","49,318","49,734","50,760","51,414","51,578","52,048","52,251","52,533"
Central Region,Chachoengsao Province,30  -  34,"56,185","55,884","54,831","53,995","53,113","51,798","50,887","50,768","50,698","51,247","52,810"
Central Region,Chachoengsao Province,35  -  39,"55,582","55,987","56,076","56,528","56,556","56,814","56,810","56,099","55,511","54,797","53,701"
Central Region,Chachoengsao Province,40  -  44,"57,616","56,093","56,014","55,454","54,988","55,301","55,911","56,393","57,061","57,439","58,035"
Central Region,Chachoengsao Province,45  -  49,"54,669","55,861","56,086","55,978","56,583","56,766","55,357","55,345","54,936","54,605","55,229"
Central Region,Chachoengsao Province,50  -  54,"45,989","48,179","49,757","51,521","53,099","53,425","54,757","55,092","54,820","55,364","55,889"
Central Region,Chachoengsao Province,55  -  59,"37,211","35,622","37,373","40,193","42,202","44,358","46,700","48,231","50,115","51,499","51,992"
Central Region,Chachoengsao Province,60  -  64,"28,858","30,390","31,207","31,557","31,938","33,211","34,202","35,843","38,540","40,510","42,712"
Central Region,Chachoengsao Province,65  -  69,"19,631","21,363","23,191","24,715","26,234","27,377","28,339","29,181","29,546","29,804","31,206"
Central Region,Chachoengsao Province,70  -  74,"17,235","17,149","17,036","17,340","17,503","18,239","19,232","20,936","22,359","23,621","24,737"
Central Region,Chachoengsao Province,75  -  79,"12,617","13,772","14,221","14,212","14,500","14,643","14,543","14,500","14,815","14,896","15,617"
Central Region,Chachoengsao Province,80  -  84,"8,060","8,806","8,983","9,286","9,725","10,075","10,637","11,045","11,074","11,324","11,507"
Central Region,Chachoengsao Province,85  -  89,"3,806","4,614","4,908","5,135","5,421","5,541","5,863","5,978","6,268","6,525","6,813"
Central Region,Chachoengsao Province,90  -  94,"1,532","1,811","1,909","2,041","2,151","2,347","2,456","2,666","2,827","2,981","3,080"
Central Region,Chachoengsao Province,95  -  99,535,664,704,687,692,740,789,837,877,947,"1,082"
Central Region,Chachoengsao Province,100 and over,235,304,354,409,150,214,281,332,369,403,549
Central Region,Chachoengsao Province,Unknown/lunar Calendar,3,2,1,1,-,-,-,-,-,-,-
Central Region,Chachoengsao Province,Population Registered in House Registration and Non  -  Thai nationalities,673,699,"1,404","1,887","1,710","1,823","1,999","2,064","2,167","2,235",
Central Region,Chachoengsao Province,Population Registered in Central House Registration,"4,334","4,532","4,249","4,997","5,174","5,471","5,765","5,897","3,586","4,287",
Central Region,Chachoengsao Province, Transferring population,"1,484","1,437","1,310","1,408","1,251","1,308","1,193","1,117",232,196,
Central Region,Prachin Buri Province,Total,"473,770","476,167","479,314","482,195","484,829","487,544","491,640","494,680","493,670","495,325","497,778"
Central Region,Prachin Buri Province,0 - 4,"29,426","29,186","29,127","28,648","27,961","27,244","26,527","25,864","25,553","24,675","24,334"
Central Region,Prachin Buri Province,5-Sep,"29,274","29,439","29,270","29,161","29,329","29,550","29,419","29,319","28,889","28,208","27,909"
Central Region,Prachin Buri Province,Oct-14,"30,338","29,583","29,546","29,433","29,313","29,412","29,672","29,609","29,515","29,775","29,999"
Central Region,Prachin Buri Province,15  -  19,"34,660","34,322","33,779","32,982","31,879","30,601","29,856","29,758","29,767","29,703","29,929"
Central Region,Prachin Buri Province,20  -  24,"36,891","36,992","36,883","36,730","37,343","37,026","37,873","37,817","36,958","35,682","34,807"
Central Region,Prachin Buri Province,25  -  29,"34,775","34,040","33,846","34,064","34,485","35,434","35,784","35,918","36,281","36,713","37,119"
Central Region,Prachin Buri Province,30  -  34,"38,718","38,115","37,428","36,766","36,073","35,107","34,628","34,554","34,927","35,390","36,632"
Central Region,Prachin Buri Province,35  -  39,"39,244","39,402","39,287","39,339","39,079","38,826","38,405","37,812","37,301","36,676","36,076"
Central Region,Prachin Buri Province,40  -  44,"38,618","38,119","38,382","38,344","38,488","38,866","39,088","39,184","39,324","39,138","39,142"
Central Region,Prachin Buri Province,45  -  49,"37,000","37,438","37,650","37,628","37,775","37,881","37,576","37,790","37,912","38,092","38,593"
Central Region,Prachin Buri Province,50  -  54,"31,816","33,016","33,914","34,920","35,865","36,087","36,604","36,831","36,889","36,909","37,103"
Central Region,Prachin Buri Province,55  -  59,"25,041","24,548","25,702","27,369","28,894","30,238","31,753","32,659","33,673","34,544","34,989"
Central Region,Prachin Buri Province,60  -  64,"18,992","20,218","21,048","21,350","21,784","22,625","23,432","24,445","26,086","27,555","28,921"
Central Region,Prachin Buri Province,65  -  69,"12,837","14,015","15,020","16,176","17,184","18,087","18,893","19,620","19,915","20,276","21,193"
Central Region,Prachin Buri Province,70  -  74,"11,556","11,415","11,378","11,387","11,353","11,853","12,651","13,556","14,623","15,482","16,281"
Central Region,Prachin Buri Province,75  -  79,"8,352","8,923","9,287","9,456","9,619","9,744","9,591","9,629","9,684","9,657","10,084"
Central Region,Prachin Buri Province,80  -  84,"5,620","6,008","6,161","6,332","6,496","6,698","6,996","7,262","7,325","7,400","7,467"
Central Region,Prachin Buri Province,85  -  89,"2,599","3,096","3,292","3,466","3,674","3,773","3,953","4,031","4,204","4,366","4,431"
Central Region,Prachin Buri Province,90  -  94,919,"1,128","1,146","1,264","1,337","1,492","1,612","1,718","1,844","1,862","1,922"
Central Region,Prachin Buri Province,95  -  99,284,354,375,378,407,415,460,449,492,522,622
Central Region,Prachin Buri Province,100 and over,94,113,143,172,78,101,120,135,166,189,225
Central Region,Prachin Buri Province,Unknown/lunar Calendar,11,1,1,1,-,-,-,-,-,-,-
Central Region,Prachin Buri Province,Population Registered in House Registration and Non  -  Thai nationalities,265,269,333,553,593,664,789,834,879,985,
Central Region,Prachin Buri Province,Population Registered in Central House Registration,"5,234","5,211","5,116","5,097","4,783","4,787","5,039","5,077","1,272","1,412",
Central Region,Prachin Buri Province, Transferring population,"1,206","1,216","1,200","1,179","1,037","1,033",919,809,191,114,
Central Region,Nakhon Nayok Province,Total,"255,174","256,085","257,300","258,577","258,358","259,342","260,093","260,751","260,081","260,433","260,406"
Central Region,Nakhon Nayok Province,0 - 4,"14,153","13,882","13,742","13,547","13,051","12,842","12,424","11,822","11,448","11,102","11,095"
Central Region,Nakhon Nayok Province,5-Sep,"14,797","14,850","14,844","14,630","14,516","14,199","14,026","13,884","13,683","13,202","13,575"
Central Region,Nakhon Nayok Province,Oct-14,"14,853","14,448","14,384","14,413","14,587","14,915","15,009","14,994","14,817","14,726","14,518"
Central Region,Nakhon Nayok Province,15  -  19,"19,698","19,469","18,408","18,396","17,077","16,182","15,766","16,082","16,377","16,556","16,918"
Central Region,Nakhon Nayok Province,20  -  24,"19,048","19,294","19,328","19,348","19,396","19,492","19,268","18,721","18,006","17,311","16,615"
Central Region,Nakhon Nayok Province,25  -  29,"18,400","17,925","17,840","17,812","17,925","18,219","18,407","18,255","18,251","18,383","18,500"
Central Region,Nakhon Nayok Province,30  -  34,"19,167","19,025","18,699","18,539","18,230","17,823","17,311","17,171","17,094","17,283","17,686"
Central Region,Nakhon Nayok Province,35  -  39,"19,327","19,306","19,261","19,174","18,979","18,815","18,675","18,301","18,034","17,732","17,391"
Central Region,Nakhon Nayok Province,40  -  44,"20,404","19,612","19,295","19,152","18,968","19,000","18,932","18,970","18,913","18,744","18,626"
Central Region,Nakhon Nayok Province,45  -  49,"20,816","21,362","21,146","20,606","20,391","20,066","19,354","19,006","18,945","18,784","18,936"
Central Region,Nakhon Nayok Province,50  -  54,"18,222","18,590","19,233","19,972","20,434","20,489","20,996","20,822","20,277","20,045","19,815"
Central Region,Nakhon Nayok Province,55  -  59,"15,029","14,437","14,953","16,140","16,974","17,674","18,298","18,905","19,535","20,042","20,187"
Central Region,Nakhon Nayok Province,60  -  64,"11,721","12,307","12,969","13,002","13,008","13,451","14,035","14,577","15,724","16,505","17,266"
Central Region,Nakhon Nayok Province,65  -  69,"8,331","9,049","9,460","10,106","10,669","11,272","11,564","12,225","12,258","12,316","12,838"
Central Region,Nakhon Nayok Province,70  -  74,"7,442","7,236","7,220","7,290","7,477","7,800","8,203","8,561","9,100","9,678","10,237"
Central Region,Nakhon Nayok Province,75  -  79,"5,428","5,987","6,082","6,125","6,295","6,265","6,155","6,160","6,211","6,348","6,634"
Central Region,Nakhon Nayok Province,80  -  84,"3,454","3,780","3,893","4,067","4,245","4,393","4,634","4,711","4,719","4,817","4,792"
Central Region,Nakhon Nayok Province,85  -  89,"1,669","2,050","2,131","2,245","2,275","2,339","2,492","2,591","2,784","2,879","2,982"
Central Region,Nakhon Nayok Province,90  -  94,582,727,785,814,873,963,"1,027","1,084","1,183","1,211","1,257"
Central Region,Nakhon Nayok Province,95  -  99,159,204,208,227,231,255,282,312,323,342,398
Central Region,Nakhon Nayok Province,100 and over,109,120,130,99,45,61,66,80,93,96,139
Central Region,Nakhon Nayok Province,Unknown/lunar Calendar,6,4,4,4,1,1,1,1,1,1,1
Central Region,Nakhon Nayok Province,Population Registered in House Registration and Non  -  Thai nationalities,171,188,462,422,472,546,758,921,945,972,
Central Region,Nakhon Nayok Province,Population Registered in Central House Registration,"1,719","1,763","1,746","1,930","1,805","1,861","1,998","2,221","1,208","1,281",
Central Region,Nakhon Nayok Province, Transferring population,469,470,"1,077",517,434,419,412,374,152,77,
Central Region,Sa Kaeo Province,Total,"548,342","550,937","552,187","556,922","559,017","561,938","564,092","566,303","560,925","561,992","562,816"
Central Region,Sa Kaeo Province,0 - 4,"36,159","35,742","35,128","34,250","33,230","32,140","31,107","30,269","29,442","28,362","28,368"
Central Region,Sa Kaeo Province,5-Sep,"36,759","36,893","36,784","36,467","36,504","36,728","36,361","35,677","34,898","33,764","33,378"
Central Region,Sa Kaeo Province,Oct-14,"37,407","36,416","36,219","36,371","36,665","36,784","36,988","36,913","36,563","36,594","36,850"
Central Region,Sa Kaeo Province,15  -  19,"42,560","42,254","41,401","40,187","38,581","36,954","36,114","35,963","36,125","36,466","36,901"
Central Region,Sa Kaeo Province,20  -  24,"41,764","41,797","41,930","41,672","41,854","41,954","41,957","41,643","40,232","39,084","38,380"
Central Region,Sa Kaeo Province,25  -  29,"42,074","41,417","40,755","40,723","40,953","41,175","41,199","41,142","41,232","41,277","42,000"
Central Region,Sa Kaeo Province,30  -  34,"44,812","44,342","43,723","43,023","42,024","41,018","40,316","39,744","39,684","39,700","40,134"
Central Region,Sa Kaeo Province,35  -  39,"45,932","45,220","44,782","44,401","44,097","43,802","43,320","42,663","41,996","40,890","40,089"
Central Region,Sa Kaeo Province,40  -  44,"45,956","45,187","45,638","45,338","45,137","45,034","44,532","44,040","43,733","43,365","43,332"
Central Region,Sa Kaeo Province,45  -  49,"42,881","43,653","43,709","44,122","44,946","44,957","44,467","44,924","44,661","44,263","44,459"
Central Region,Sa Kaeo Province,50  -  54,"34,995","36,307","37,442","38,760","39,877","41,377","42,481","42,710","43,128","43,851","44,131"
Central Region,Sa Kaeo Province,55  -  59,"27,230","27,083","28,504","30,441","32,267","33,330","35,016","36,259","37,521","38,473","40,179"
Central Region,Sa Kaeo Province,60  -  64,"19,951","21,597","22,391","22,793","23,362","24,401","25,633","26,970","28,869","30,512","31,716"
Central Region,Sa Kaeo Province,65  -  69,"13,236","14,372","15,579","16,768","17,870","19,131","19,930","20,741","21,118","21,565","22,758"
Central Region,Sa Kaeo Province,70  -  74,"11,065","11,064","11,140","11,292","11,566","12,087","12,751","13,837","14,945","15,881","17,103"
Central Region,Sa Kaeo Province,75  -  79,"7,477","8,227","8,644","8,850","9,123","9,179","9,213","9,264","9,420","9,645","10,068"
Central Region,Sa Kaeo Province,80  -  84,"4,422","4,938","5,077","5,305","5,522","5,814","6,190","6,483","6,634","6,849","6,869"
Central Region,Sa Kaeo Province,85  -  89,"1,840","2,280","2,511","2,683","2,807","2,958","3,110","3,254","3,440","3,582","3,726"
Central Region,Sa Kaeo Province,90  -  94,656,823,895,927,980,"1,074","1,201","1,312","1,391","1,467","1,598"
Central Region,Sa Kaeo Province,95  -  99,241,284,267,289,343,357,385,421,425,460,505
Central Region,Sa Kaeo Province,100 and over,84,125,156,187,66,100,123,110,163,202,272
Central Region,Sa Kaeo Province,Unknown/lunar Calendar,6,1,1,1,-,-,-,-,-,-,-
Central Region,Sa Kaeo Province,Population Registered in House Registration and Non  -  Thai nationalities,371,395,549,"2,692","2,676","2,787","2,907","3,015","3,147","3,458",
Central Region,Sa Kaeo Province,Population Registered in Central House Registration,"9,862","9,834","8,244","8,523","7,809","7,921","8,055","8,251","1,990","2,129",
Central Region,Sa Kaeo Province, Transferring population,602,686,718,857,758,876,736,698,168,153,
Central Region,Ratchaburi Province,Total,"846,631","850,162","853,217","867,883","869,823","871,714","873,518","873,101","869,313","868,281","865,807"
Central Region,Ratchaburi Province,0 - 4,"47,815","46,740","45,839","44,621","43,037","41,190","39,748","38,101","36,680","34,890","35,303"
Central Region,Ratchaburi Province,5-Sep,"50,636","50,429","49,678","48,697","48,500","47,780","46,803","45,813","44,673","43,026","47,635"
Central Region,Ratchaburi Province,Oct-14,"50,919","49,848","50,115","49,899","50,533","51,040","50,772","50,108","49,154","48,652","50,929"
Central Region,Ratchaburi Province,15  -  19,"60,860","59,714","57,840","56,034","53,335","51,050","50,286","50,716","50,481","50,901","52,704"
Central Region,Ratchaburi Province,20  -  24,"61,965","62,716","62,343","62,422","63,124","62,740","61,722","59,901","57,977","55,381","54,818"
Central Region,Ratchaburi Province,25  -  29,"60,777","58,930","58,371","57,953","58,828","59,810","60,301","60,178","60,414","60,777","62,491"
Central Region,Ratchaburi Province,30  -  34,"65,899","65,237","63,754","62,834","61,323","59,202","57,448","56,592","56,334","57,192","60,094"
Central Region,Ratchaburi Province,35  -  39,"66,681","66,741","66,711","66,106","64,989","64,329","63,722","62,157","61,243","59,902","59,774"
Central Region,Ratchaburi Province,40  -  44,"68,272","67,529","67,082","66,439","65,740","65,356","65,460","65,344","64,828","63,846","65,428"
Central Region,Ratchaburi Province,45  -  49,"66,208","66,996","66,272","65,740","66,585","67,005","66,218","65,775","65,177","64,393","66,023"
Central Region,Ratchaburi Province,50  -  54,"60,378","61,500","62,885","64,355","64,704","64,559","65,443","64,783","64,264","64,867","66,616"
Central Region,Ratchaburi Province,55  -  59,"49,751","47,848","49,711","53,398","56,240","58,376","59,568","60,789","62,377","62,682","63,320"
Central Region,Ratchaburi Province,60  -  64,"38,633","41,034","42,774","42,595","42,710","44,010","45,907","47,742","51,272","53,831","56,477"
Central Region,Ratchaburi Province,65  -  69,"25,699","28,168","30,651","33,045","35,145","37,130","38,458","40,101","39,954","40,028","41,677"
Central Region,Ratchaburi Province,70  -  74,"21,809","21,436","21,657","22,266","22,843","23,963","25,331","27,564","29,772","31,628","33,692"
Central Region,Ratchaburi Province,75  -  79,"16,786","18,079","18,415","17,989","18,342","18,320","18,235","18,398","19,044","19,561","20,476"
Central Region,Ratchaburi Province,80  -  84,"10,637","11,838","12,070","12,570","12,995","13,292","13,879","14,173","13,900","14,159","14,204"
Central Region,Ratchaburi Province,85  -  89,"4,812","5,870","6,335","6,699","7,050","7,428","7,799","7,957","8,293","8,543","8,786"
Central Region,Ratchaburi Province,90  -  94,"1,761","2,217","2,262","2,442","2,534","2,806","2,989","3,217","3,490","3,692","3,758"
Central Region,Ratchaburi Province,95  -  99,583,723,754,730,768,797,895,878,941,"1,001","1,113"
Central Region,Ratchaburi Province,100 and over,190,279,309,374,198,265,283,293,350,395,488
Central Region,Ratchaburi Province,Unknown/lunar Calendar,13,8,8,8,3,3,3,2,2,1,1
Central Region,Ratchaburi Province,Population Registered in House Registration and Non  -  Thai nationalities,"8,053","8,477","10,279","21,802","21,652","22,179","22,586","22,889","23,556","23,803",
Central Region,Ratchaburi Province,Population Registered in Central House Registration,"5,829","5,944","5,590","6,095","5,609","5,819","6,164","6,348","4,807","4,872",
Central Region,Ratchaburi Province, Transferring population,"1,665","1,861","1,512","2,770","3,036","3,265","3,498","3,282",330,258,
Central Region,Kanchanaburi Province,Total,"838,269","842,882","848,198","882,146","885,112","887,979","893,151","895,525","891,976","894,054","894,283"
Central Region,Kanchanaburi Province,0 - 4,"50,589","50,064","49,400","48,622","46,632","44,590","42,545","40,521","38,680","37,180","40,725"
Central Region,Kanchanaburi Province,5-Sep,"52,147","52,129","51,539","50,948","50,974","50,852","50,681","50,063","49,282","47,390","53,287"
Central Region,Kanchanaburi Province,Oct-14,"51,213","50,375","50,763","51,026","51,485","52,317","53,317","53,251","52,717","52,614","57,846"
Central Region,Kanchanaburi Province,15  -  19,"58,566","57,926","56,591","54,900","52,870","51,054","50,985","51,976","52,742","53,364","58,622"
Central Region,Kanchanaburi Province,20  -  24,"65,797","64,349","63,736","63,371","62,616","62,150","62,739","61,743","60,110","57,807","63,326"
Central Region,Kanchanaburi Province,25  -  29,"62,814","61,802","61,411","62,014","62,137","62,087","61,557","60,797","60,320","60,338","66,966"
Central Region,Kanchanaburi Province,30  -  34,"63,974","64,169","63,685","63,154","62,454","61,035","60,024","59,501","59,757","60,060","66,340"
Central Region,Kanchanaburi Province,35  -  39,"64,998","64,856","64,323","64,091","63,177","62,526","62,568","62,021","61,381","60,805","65,802"
Central Region,Kanchanaburi Province,40  -  44,"63,049","63,208","63,775","63,508","63,755","63,703","63,592","63,176","62,943","62,115","67,932"
Central Region,Kanchanaburi Province,45  -  49,"60,115","60,721","60,326","60,794","61,202","61,856","62,015","62,571","62,265","62,545","68,660"
Central Region,Kanchanaburi Province,50  -  54,"53,336","53,818","55,348","56,308","57,640","58,145","59,282","58,819","59,275","59,722","65,820"
Central Region,Kanchanaburi Province,55  -  59,"42,564","41,752","43,721","47,407","49,538","50,981","51,984","53,551","54,587","55,908","60,752"
Central Region,Kanchanaburi Province,60  -  64,"31,636","34,194","35,543","35,637","36,365","37,854","39,859","41,743","45,167","47,242","51,902"
Central Region,Kanchanaburi Province,65  -  69,"20,510","22,810","25,037","26,853","28,658","30,597","31,876","33,171","33,358","34,024","37,987"
Central Region,Kanchanaburi Province,70  -  74,"17,354","17,240","17,311","17,722","18,221","19,184","20,459","22,487","24,169","25,773","29,141"
Central Region,Kanchanaburi Province,75  -  79,"11,958","13,228","13,787","14,021","14,395","14,355","14,515","14,603","14,924","15,349","16,990"
Central Region,Kanchanaburi Province,80  -  84,"7,218","8,046","8,282","8,727","9,212","9,635","10,163","10,571","10,755","11,133","11,477"
Central Region,Kanchanaburi Province,85  -  89,"3,137","3,939","4,254","4,438","4,683","4,880","5,236","5,404","5,822","6,128","6,632"
Central Region,Kanchanaburi Province,90  -  94,"1,101","1,323","1,427","1,582","1,689","1,899","2,051","2,279","2,412","2,505","2,719"
Central Region,Kanchanaburi Province,95  -  99,395,475,495,494,505,558,576,606,669,755,880
Central Region,Kanchanaburi Province,100 and over,185,171,218,285,142,192,242,265,296,347,475
Central Region,Kanchanaburi Province,Unknown/lunar Calendar,19,10,9,9,2,2,2,2,2,2,2
Central Region,Kanchanaburi Province,Population Registered in House Registration and Non  -  Thai nationalities,"43,474","44,080","45,591","73,326","73,793","73,995","72,808","72,313","75,218","75,649",
Central Region,Kanchanaburi Province,Population Registered in Central House Registration,"10,534","10,588","10,270","10,849","10,461","10,779","11,008","11,101","4,684","5,031",
Central Region,Kanchanaburi Province, Transferring population,"1,586","1,609","1,356","2,060","2,506","2,753","3,067","2,990",441,268,
Central Region,Suphan Buri Province,Total,"847,308","848,066","849,053","849,699","848,567","852,003","848,720","846,334","838,628","835,360","830,695"
Central Region,Suphan Buri Province,0 - 4,"46,941","46,058","45,121","43,902","42,184","40,582","38,769","36,714","35,273","33,589","32,035"
Central Region,Suphan Buri Province,5-Sep,"49,538","49,471","48,934","48,095","47,488","47,096","45,958","44,929","43,829","42,183","41,448"
Central Region,Suphan Buri Province,Oct-14,"49,471","48,207","48,556","48,328","48,746","49,691","49,375","48,851","48,151","47,625","47,094"
Central Region,Suphan Buri Province,15  -  19,"59,692","58,382","56,432","54,470","51,851","49,397","48,007","48,285","48,171","48,571","49,365"
Central Region,Suphan Buri Province,20  -  24,"58,420","58,782","58,055","57,430","57,085","57,274","56,007","54,397","52,521","50,006","47,337"
Central Region,Suphan Buri Province,25  -  29,"62,555","60,543","59,630","59,012","58,637","59,269","59,114","58,398","57,702","57,466","57,434"
Central Region,Suphan Buri Province,30  -  34,"66,025","65,698","64,620","63,810","62,709","61,184","59,043","58,141","57,542","57,102","57,239"
Central Region,Suphan Buri Province,35  -  39,"65,557","65,894","65,885","65,652","64,935","64,245","63,812","62,544","61,761","60,745","59,201"
Central Region,Suphan Buri Province,40  -  44,"65,938","64,141","63,495","63,223","63,193","64,026","64,207","64,122","63,823","62,956","62,227"
Central Region,Suphan Buri Province,45  -  49,"69,138","68,888","67,332","65,400","64,497","64,079","62,574","61,961","61,623","61,455","62,199"
Central Region,Suphan Buri Province,50  -  54,"63,456","64,249","65,981","67,421","67,838","67,084","67,010","65,433","63,505","62,663","62,362"
Central Region,Suphan Buri Province,55  -  59,"51,866","48,657","50,559","55,137","58,320","60,668","62,036","63,622","65,042","65,452","64,765"
Central Region,Suphan Buri Province,60  -  64,"40,669","43,563","44,889","43,903","43,820","45,070","46,514","48,422","52,745","55,693","58,073"
Central Region,Suphan Buri Province,65  -  69,"27,834","30,967","33,384","35,379","37,265","39,296","40,548","41,707","40,776","40,743","42,037"
